province,date,year,period,inflation_mom,hhi_sectoral,export_intensity,migas_share,resilience,d_log_brent,d_log_usd_idr,d_log_wti,d_log_coal,d_log_palm_oil,d_log_nickel,d_log_tin,migas_share_x_d_log_brent,export_intensity_x_d_log_usd_idr,resilience_x_d_log_usd_idr,inflation_distress,distress_threshold
Kepulauan Riau,2024-06-01,2024,Juni,0.28,0.3079216048858691,27.41700072159824,0.1286690481523548,0.5600431078044311,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.00015877078584620292,0.45663792733346087,0.00932767688785681,0,0.39
Lampung,2024-06-01,2024,Juni,-0.11,0.2867647016264973,5.772495453782701,0.0186421136264518,0.1885546917091267,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-2.3003380166466175e-05,0.0961425498844098,0.003140431897907327,0,0.39
Maluku,2024-06-01,2024,Juni,1.33,0.285371153682206,0.75840692931055,0.2450981114364069,0.0649297258549906,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0003024380790949867,0.012631482626138836,0.001081423009680118,1,0.39
Maluku Utara,2024-06-01,2024,Juni,0.16,0.2976433117464032,57.12837341706494,0.0,0.3361744659162717,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0,0.9514892709817827,0.00559908112842953,0,0.39
Nusa Tenggara Barat,2024-06-01,2024,Juni,-0.26,0.2823304632703688,7.032903433302264,0.0,-0.6108096224550937,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0,0.11713500245815062,-0.010173207595734729,0,0.39
Nusa Tenggara Timur,2024-06-01,2024,Juni,-0.23,0.2863218203108601,0.308481673267326,0.0295689558095837,-0.5003126522297743,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-3.648652428811282e-05,0.005137849808282681,-0.00833284920012917,0,0.39
Papua,2024-06-01,2024,Juni,0.35,0.2795603519505868,0.5213063789312734,0.0001462455093697,-1.640240509783757,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-1.8045920742035545e-07,0.008682505675880208,-0.02731867115304114,0,0.39
Papua Barat,2024-06-01,2024,Juni,-0.27,0.3094613799023457,23.802175806861573,0.991902020524656,-1.2471076887241264,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.001223954521639585,0.3964319925742163,-0.020770932456225688,0,0.39
Papua Barat Daya,2024-06-01,2024,Juni,0.29,0.2793991130813336,0.6842736438533831,0.550459692906792,-1.016318152151856,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0006792380861944802,0.011396771719525594,-0.01692706723184355,0,0.39
Papua Pegunungan,2024-06-01,2024,Juni,2.11,0.2861036874990458,0.0,0.0,-1.5394374206490218,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0,0.0,-0.025639767097900123,1,0.39
Papua Selatan,2024-06-01,2024,Juni,-1.11,0.285952394121627,0.0024533254459693,0.0,-1.372943339654945,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0,4.08608315000458e-05,-0.022866760931746707,0,0.39
Papua Tengah,2024-06-01,2024,Juni,-0.17,0.3994204492726266,15.60619588825397,7.508623860533136e-07,-1.3909161785191035,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-9.26524388016605e-10,0.25992562119890583,-0.023166103663308235,0,0.39
Riau,2024-06-01,2024,Juni,-0.22,0.3017644292839022,8.171352580830526,0.0926371460730898,1.2682731376372784,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0001143093284031944,0.13609619607596024,0.021123449014142627,0,0.39
Sulawesi Barat,2024-06-01,2024,Juni,0.81,0.3119104535925603,3.37765161930916,0.0,-0.2394376564142932,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0,0.056255746219564334,-0.003987902114488859,1,0.39
Sulawesi Selatan,2024-06-01,2024,Juni,-0.26,0.2799263737864846,1.4788470840799923,0.0,0.0714577005379102,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0,0.024630617848196725,0.0011901482805134604,0,0.39
Sulawesi Tengah,2024-06-01,2024,Juni,0.18,0.3073280530836617,28.302461516581484,0.0793641458308813,0.258294258061925,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-9.793114958510763e-05,0.4713855281473481,0.00430196416600072,0,0.39
Sulawesi Tenggara,2024-06-01,2024,Juni,-0.09,0.2865770236497616,10.181122194896371,0.0,-0.2432948787287884,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0,0.16956947932469407,-0.004052145246727898,0,0.39
Sulawesi Utara,2024-06-01,2024,Juni,0.47,0.2777421692821024,2.240123884665494,0.0,-0.099086020764557,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0,0.03730989899482345,-0.001650305794171128,1,0.39
Sumatera Barat,2024-06-01,2024,Juni,0.14,0.2792410639765278,3.268262955595151,0.0,1.025623300105379,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-0.0,0.054433846983416585,0.01708204711159679,0,0.39
Sumatera Selatan,2024-06-01,2024,Juni,-0.03,0.2869025556233445,5.062825252421273,0.0681390348714495,-0.0046026505184263,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-8.40799576020169e-05,0.08432279129262787,-7.665845051091884e-05,0,0.39
Sumatera Utara,2024-06-01,2024,Juni,-0.33,0.2883509487501548,4.647492163248561,0.0001037887066236,0.7168491076250182,-0.0012339469991120566,0.01665528377703751,0.0009796229595453454,-0.0308535540787096,0.016759201592921436,-0.11224522639371948,-0.029068557937060646,-1.2806976307991284e-07,0.07740530083046272,0.011939325312810781,0,0.39
