province_code,province,area_type,year,period,value,date,metric
7400,Sulawesi Tenggara,Produk Domestik Regional Bruto,2023,Triwulan III,44759.49,2023-09-01,pdrb_adhb_quarterly
7400,Sulawesi Tenggara,Produk Domestik Regional Bruto,2023,Triwulan IV,47655.82,2023-12-01,pdrb_adhb_quarterly
7400,Sulawesi Tenggara,Produk Domestik Regional Bruto,2023,Tahunan,176179.9,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2022,Triwulan I,4271.55,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2022,Triwulan II,4557.88,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2022,Triwulan III,4645.82,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2022,Triwulan IV,4597.94,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2022,Tahunan,18073.2,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2023,Triwulan I,4681.09,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2023,Triwulan II,4829.57,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2023,Triwulan III,4985.24,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2023,Triwulan IV,4891.08,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,"A Pertanian, Kehutanan dan Perikanan",2023,Tahunan,19386.98,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2022,Triwulan I,118.58,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2022,Triwulan II,126.52,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2022,Triwulan III,132.59,2022-09-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2022,Triwulan IV,141.6,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2022,Tahunan,519.28,2022-12-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2023,Triwulan I,131.62,2023-03-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2023,Triwulan II,134.46,2023-06-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2023,Triwulan III,143.41,2023-09-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2023,Triwulan IV,152.63,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,B Pertambangan dan Penggalian,2023,Tahunan,562.13,2023-12-01,pdrb_adhb_quarterly
7500,Gorontalo,C Industri Pengolahan,2022,Triwulan I,502.55,2022-03-01,pdrb_adhb_quarterly
7500,Gorontalo,C Industri Pengolahan,2022,Triwulan II,559.67,2022-06-01,pdrb_adhb_quarterly
7500,Gorontalo,C Industri Pengolahan,2022,Triwulan III,566.06,2022-09-01,pdrb_adhb_quarterly
