province,scenario,feature,feature_value,shap_value,abs_shap_value,rank
Jawa Tengah,Base,d_log_palm_oil,0.0,-0.2958021241540108,0.2958021241540108,1
Jawa Tengah,Base,resilience_x_d_log_usd_idr,-0.0,-0.27185954125720624,0.27185954125720624,2
Jawa Tengah,Base,d_log_usd_idr,0.0,0.03516199993103103,0.03516199993103103,3
Jawa Timur,Base,d_log_palm_oil,0.0,-0.2949460623687565,0.2949460623687565,1
Jawa Timur,Base,resilience_x_d_log_usd_idr,-0.0,-0.27185954125720624,0.27185954125720624,2
Jawa Timur,Base,export_intensity,4.100729782763403,0.035868802139922336,0.035868802139922336,3
Kalimantan Barat,Base,d_log_palm_oil,0.0,-0.2949460623687565,0.2949460623687565,1
Kalimantan Barat,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,2
Kalimantan Barat,Base,export_intensity,3.51850814928718,0.035868802139922336,0.035868802139922336,3
Kalimantan Selatan,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,1
Kalimantan Selatan,Base,d_log_palm_oil,0.0,-0.258835049749676,0.258835049749676,2
Kalimantan Selatan,Base,d_log_usd_idr,0.0,0.015933874723305617,0.015933874723305617,3
Kalimantan Tengah,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,1
Kalimantan Tengah,Base,d_log_palm_oil,0.0,-0.258835049749676,0.258835049749676,2
Kalimantan Tengah,Base,d_log_usd_idr,0.0,0.015933874723305617,0.015933874723305617,3
Kalimantan Timur,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,1
Kalimantan Timur,Base,d_log_palm_oil,0.0,-0.258835049749676,0.258835049749676,2
Kalimantan Timur,Base,d_log_usd_idr,0.0,0.015933874723305617,0.015933874723305617,3
Kalimantan Utara,Base,d_log_palm_oil,0.0,-0.2949460623687565,0.2949460623687565,1
Kalimantan Utara,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,2
Kalimantan Utara,Base,export_intensity,5.347448348148918,0.035868802139922336,0.035868802139922336,3
Kepulauan Bangka Belitung,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,1
Kepulauan Bangka Belitung,Base,d_log_palm_oil,0.0,-0.258835049749676,0.258835049749676,2
Kepulauan Bangka Belitung,Base,d_log_usd_idr,0.0,0.015933874723305617,0.015933874723305617,3
Kepulauan Riau,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,1
Kepulauan Riau,Base,d_log_palm_oil,0.0,-0.258835049749676,0.258835049749676,2
Kepulauan Riau,Base,d_log_usd_idr,0.0,0.015933874723305617,0.015933874723305617,3
Lampung,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,1
Lampung,Base,d_log_palm_oil,0.0,-0.258835049749676,0.258835049749676,2
Lampung,Base,d_log_usd_idr,0.0,0.015933874723305617,0.015933874723305617,3
Maluku,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,1
Maluku,Base,d_log_palm_oil,0.0,-0.21216677368391273,0.21216677368391273,2
Maluku,Base,export_intensity,0.75840692931055,-0.04662026806689958,0.04662026806689958,3
Maluku Utara,Base,resilience_x_d_log_usd_idr,0.0,-0.27185954125720624,0.27185954125720624,1
Maluku Utara,Base,d_log_palm_oil,0.0,-0.258835049749676,0.258835049749676,2
Maluku Utara,Base,d_log_usd_idr,0.0,0.015933874723305617,0.015933874723305617,3
Nusa Tenggara Barat,Base,resilience_x_d_log_usd_idr,-0.0,-0.27185954125720624,0.27185954125720624,1
Nusa Tenggara Barat,Base,d_log_palm_oil,0.0,-0.258835049749676,0.258835049749676,2
Nusa Tenggara Barat,Base,d_log_usd_idr,0.0,0.015933874723305617,0.015933874723305617,3
Nusa Tenggara Timur,Base,resilience_x_d_log_usd_idr,-0.0,-0.27185954125720624,0.27185954125720624,1
Nusa Tenggara Timur,Base,d_log_palm_oil,0.0,-0.21216677368391273,0.21216677368391273,2
Nusa Tenggara Timur,Base,export_intensity,0.308481673267326,-0.04662026806689958,0.04662026806689958,3
Papua,Base,resilience_x_d_log_usd_idr,-0.0,-0.27185954125720624,0.27185954125720624,1
Papua,Base,d_log_palm_oil,0.0,-0.21216677368391273,0.21216677368391273,2
Papua,Base,export_intensity,0.5213063789312734,-0.04662026806689958,0.04662026806689958,3
Papua Barat,Base,resilience_x_d_log_usd_idr,-0.0,-0.27185954125720624,0.27185954125720624,1
Papua Barat,Base,d_log_palm_oil,0.0,-0.258835049749676,0.258835049749676,2
Papua Barat,Base,d_log_usd_idr,0.0,0.015933874723305617,0.015933874723305617,3
Papua Barat Daya,Base,resilience_x_d_log_usd_idr,-0.0,-0.27185954125720624,0.27185954125720624,1
Papua Barat Daya,Base,d_log_palm_oil,0.0,-0.21216677368391273,0.21216677368391273,2
Papua Barat Daya,Base,export_intensity,0.6842736438533831,-0.04662026806689958,0.04662026806689958,3
Papua Pegunungan,Base,resilience_x_d_log_usd_idr,-0.0,-0.27185954125720624,0.27185954125720624,1
Papua Pegunungan,Base,d_log_palm_oil,0.0,-0.21216677368391273,0.21216677368391273,2
Papua Pegunungan,Base,export_intensity,0.0,-0.04662026806689958,0.04662026806689958,3
